# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9]
100000 50
1 0.04 0 0 0 0 0 0 0 0
2 0.12 0 0 0 0 0 0 0 0
3 0.2 0 0 0 0 0 0 0 0
4 0.28 0 0 0 0 0 0 0 0
5 0.36 0 0 0 0 0 0 0 0
6 0.44 0 0 0 0 0 0 0 0
7 0.52 0 0 0 0 0 0 0 0
8 0.6 0 0 0 0 0 0 0 0
9 0.68 0 0 0 0 0 0 0 0
10 0.76 0 0 0 0 0 0 0 0
11 0.84 0.00369278 0.00128 0.102359 0.03548 0.102359 0.03548 0.00484677 0.00168
12 0.92 0.653489 0.27296 1.31939 0.584 1.31939 0.584 0.649833 0.27184
13 1 2.5044 1.50296 2.20591 1.6674 2.20591 1.6674 2.51206 1.5056
14 1.08 2.559 2.9688 1.79513 2.69568 1.79513 2.69568 2.57534 2.9808
15 1.16 1.82281 4.17328 1.24586 3.51892 1.24586 3.51892 1.80078 4.17072
16 1.24 1.20991 5.0868 0.909369 4.20552 0.909369 4.20552 1.24032 5.1072
17 1.32 0.916078 5.87056 0.714853 4.81712 0.714853 4.81712 0.917106 5.89184
18 1.4 0.762281 6.60416 0.627406 5.42092 0.627406 5.42092 0.745739 6.60952
19 1.48 0.701162 7.35824 0.602563 6.06896 0.602563 6.06896 0.700121 7.36248
20 1.56 0.730132 8.23064 0.649352 6.84484 0.649352 6.84484 0.726182 8.23016
21 1.64 0.824041 9.3188 0.748556 7.83332 0.748556 7.83332 0.823496 9.3176
22 1.72 0.942069 10.6871 0.883327 9.11632 0.883327 9.11632 0.976603 10.7361
23 1.8 1.10996 12.4527 1.02225 10.7424 1.02225 10.7424 1.1182 12.5148
24 1.88 1.22365 14.576 1.12948 12.7023 1.12948 12.7023 1.22245 14.636
25 1.96 1.26528 16.9623 1.18237 14.9322 1.18237 14.9322 1.25705 17.0068
26 2.04 1.2303 19.4759 1.14791 17.2775 1.14791 17.2775 1.21851 19.4963
27 2.12 1.13254 21.9748 1.0581 19.6122 1.0581 19.6122 1.12402 21.9764
28 2.2 1.02605 24.4128 0.95934 21.8916 0.95934 21.8916 1.03471 24.435
29 2.28 0.947202 26.8301 0.89319 24.1711 0.89319 24.1711 0.954381 26.8706
30 2.36 0.890692 29.2654 0.862516 26.5294 0.862516 26.5294 0.909096 29.3562
31 2.44 0.91665 31.9446 0.864193 29.0552 0.864193 29.0552 0.905209 32.0019
32 2.52 0.935029 34.8595 0.903196 31.8709 0.903196 31.8709 0.93136 34.9054
33 2.6 0.98387 38.1246 0.94994 35.0234 0.94994 35.0234 0.986931 38.1806
34 2.68 1.02902 41.7528 0.999276 38.5467 0.999276 38.5467 1.03571 41.8325
35 2.76 1.07585 45.776 1.04258 42.4455 1.04258 42.4455 1.06439 45.8128
36 2.84 1.08532 50.0733 1.055 46.6227 1.055 46.6227 1.08467 50.1075
37 2.92 1.07134 54.5575 1.05206 51.0263 1.05206 51.0263 1.07508 54.6074
38 3 1.05042 59.1984 1.0283 55.5694 1.0283 55.5694 1.04747 59.2353
39 3.08 1.01676 63.9334 0.996803 60.2114 0.996803 60.2114 1.01128 63.9447
40 3.16 0.985783 68.7656 0.973518 64.9836 0.973518 64.9836 0.98735 68.7846
41 3.24 0.974001 73.7849 0.956063 69.9104 0.956063 69.9104 0.971176 73.7894
42 3.32 0.963113 78.9962 0.953215 75.0681 0.953215 75.0681 0.95853 78.9758
43 3.4 0.956417 84.4236 0.96988 80.572 0.96988 80.572 0.971332 84.4879
44 3.48 0.980612 90.2533 0.984757 86.4263 0.984757 86.4263 0.976884 90.2954
45 3.56 0.996766 96.4546 1.01013 92.7107 1.01013 92.7107 0.998348 96.5066
46 3.64 1.01252 103.04 1.02284 99.3634 1.02284 99.3634 1.00929 103.071
47 3.72 1.01649 109.945 1.03268 106.379 1.03268 106.379 1.01686 109.979
48 3.8 1.01986 117.175 1.03227 113.696 1.03227 113.696 1.00976 117.136
49 3.88 1.01093 124.646 1.03001 121.308 1.03001 121.308 1.00843 124.589
50 3.96 0.998219 132.33 1.01486 129.12 1.01486 129.12 0.998417 132.275
