# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
20000 50
1 0.076 0 0
2 0.228 0 0
3 0.38 0 0
4 0.532 0 0
5 0.684 0 0
6 0.836 0 0
7 0.988 0 0
8 1.14 0 0
9 1.292 0 0
10 1.444 0 0
11 1.596 0 0
12 1.748 0 0
13 1.9 0 0
14 2.052 0.00071486 0.00032
15 2.204 0.0250412 0.01325
16 2.356 0.25441 0.16335
17 2.508 0.921186 0.77921
18 2.66 2.25488 2.47492
19 2.812 3.07922 5.06268
20 2.964 2.57366 7.46566
21 3.116 1.84041 9.36473
22 3.268 1.2254 10.7555
23 3.42 0.794877 11.7436
24 3.572 0.443749 12.3453
25 3.724 0.306469 12.7969
26 3.876 0.306758 13.2867
27 4.028 0.404504 13.9841
28 4.18 0.598872 15.096
29 4.332 0.830926 16.7531
30 4.484 0.999972 18.8896
31 4.636 1.10724 21.4184
32 4.788 1.20458 24.3528
33 4.94 1.24909 27.5919
34 5.092 1.24755 31.0292
35 5.244 1.1962 34.5247
36 5.396 1.17814 38.1699
37 5.548 1.25503 42.2747
38 5.7 1.25157 46.5957
39 5.852 1.05891 50.449
40 6.004 0.845841 53.689
41 6.156 0.723518 56.6025
42 6.308 0.695731 59.5441
43 6.46 0.740343 62.8271
44 6.612 0.837639 66.7183
45 6.764 0.956849 71.3701
46 6.916 1.04838 76.6984
47 7.068 1.07885 82.4253
48 7.22 1.08528 88.4368
49 7.372 1.1029 94.8057
50 7.524 1.11405 101.507
